COUNTY_FIPS,County_population,SDI_score,PovertyLT100_FPL_score,Single_Parent_Fam_score,Education_LT12years_score,HHNo_Vehicle_score,HHRenter_Occupied_score,HHCrowding_score,Nonemployed_score,sdi,pct_Poverty_LT100,pct_Single_Parent_Fam,pct_Education_LT12years,pct_NonEmployed,pctHH_No_Vehicle,pctHH_Renter_Occupied,pctHH_Crowding
29095,696216,58,62,90,35,78,72,30,23,.27628112,.14654051,.17547171,.093877167,.31914711,.088991314,.41756308,.017815709
29097,119920,75,83,66,68,50,54,50,52,.73153168,.17100659,.14797373,.13253164,.37429062,.063113265,.36414695,.024585327
29099,223951,17,24,43,48,8,6,24,26,-1.0709193,.095840797,.12714437,.10862531,.32637024,.034709394,.20634978,.015951401
29101,53682,48,61,29,20,20,66,51,68,-.029059784,.14475375,.1124147,.075237095,.40321186,.044855013,.39015305,.025221506
29103,3947,54,88,45,68,24,2,7,83,.18106319,.18791947,.127409,.13126403,.47865304,.047651008,.1738255,.010738255
29105,35531,58,68,31,77,35,32,48,76,.29249731,.15009835,.11405216,.14822771,.4301216,.05449263,.30505952,.023526076
29107,32597,37,46,60,36,38,29,37,51,-.38277656,.12561369,.14261745,.094467707,.37063208,.055862069,.29210728,.019770116
29109,38204,66,82,32,79,29,25,68,62,.51710129,.1684925,.116189,.15318181,.39047074,.050990734,.2820721,.034422129
29111,9955,60,88,29,53,47,13,50,76,.3229605,.18614531,.1126648,.11504152,.42777058,.060234543,.23880596,.024520256
29113,56477,22,34,37,45,13,7,33,52,-.82615507,.11022376,.12079701,.10505213,.37399128,.039925333,.21513015,.018718241
29115,12113,47,71,88,46,20,22,13,31,-.069788106,.15391682,.17195228,.1062417,.33641976,.044457503,.2712495,.012730122
29117,15126,67,79,72,69,38,43,21,82,.53921157,.16233203,.15456675,.133296,.47187647,.055452239,.33389688,.015046492
29119,22782,82,87,54,97,29,36,91,93,1.0731288,.18582614,.13489783,.22448979,.53829479,.050611455,.31396052,.082213342
29121,15199,38,46,39,58,65,16,26,68,-.33450848,.1280451,.12278761,.11792183,.40246838,.075106926,.25372112,.01659538
29123,12179,53,58,1,80,49,25,59,90,.11668526,.14249621,.066608995,.15641086,.51310933,.061260905,.28191912,.028945282
29125,8803,63,82,10,69,73,15,68,79,.44018558,.1698762,.090612248,.13488954,.45072901,.086124405,.25119618,.034821901
29127,28608,65,83,60,59,61,48,13,56,.47215864,.17260435,.14295329,.11992927,.38147902,.071335927,.34604409,.0128837
29129,3644,18,27,1,56,42,7,26,19,-1.0378432,.10094813,.061381076,.11601982,.30867192,.059008654,.21400473,.016522422
29131,25201,57,82,36,65,7,17,51,56,.22708566,.16866739,.11940298,.12689768,.38050207,.03303333,.25764018,.025022253
29133,13574,96,98,91,98,91,69,7,100,1.4215424,.25273052,.18091834,.24286008,.93934321,.12674095,.4029049,.010346199
29135,16046,42,41,9,77,58,10,61,84,-.2442311,.12011192,.088703364,.14632122,.48179781,.069168508,.22976454,.031272996
29137,8629,37,50,38,47,69,16,13,68,-.40305769,.13450223,.12152634,.10713133,.40223762,.079416528,.25472718,.01269584
29139,11487,67,79,72,77,16,31,48,67,.53608418,.16272776,.15449437,.14765921,.3996543,.042281613,.29996011,.023534104
29141,20271,68,96,10,97,84,3,8,97,.58345175,.23317888,.089267597,.21859717,.63175863,.10253031,.19267264,.011070111
29143,17560,96,95,94,96,72,55,60,96,1.4462938,.22196969,.18798247,.21273433,.59614575,.083842084,.36548635,.03011803
29145,58180,42,50,14,66,29,26,48,63,-.22656958,.13501357,.097249955,.12869021,.39428928,.050851274,.28488424,.023691559
29147,22359,65,95,37,21,29,74,12,76,.47391438,.22025317,.12019826,.077293135,.43190536,.050506253,.42179868,.012507445
29149,10647,77,97,39,83,13,19,60,97,.78582644,.23767672,.12228937,.16917343,.60787845,.040009413,.26170865,.029183337
29151,13615,9,10,2,41,13,1,47,8,-1.4610152,.073937573,.068041787,.10114298,.27288231,.040039063,.15449218,.023242187
29153,9207,69,100,1,84,35,9,41,99,.60342681,.29568473,.063179918,.1767787,.72571969,.054573018,.22410308,.020970186
29155,16663,100,99,99,97,92,84,60,98,1.802708,.27387211,.22468503,.2224268,.67932874,.13150074,.45854384,.029123329
29157,19191,13,10,32,62,21,15,12,12,-1.223886,.073912814,.11601277,.1230629,.28701001,.045142554,.25,.012275607
29159,42355,67,79,60,70,65,35,34,73,.54040581,.16369902,.14338444,.13540077,.41755292,.076404914,.31210628,.019210378
29161,44630,79,93,55,57,54,69,23,91,.87777066,.20623842,.13585827,.11739491,.51992965,.066792727,.40353706,.015683221
29163,18455,64,69,64,81,53,26,36,98,.45770857,.15143798,.14411625,.15809196,.65130365,.065715589,.28319928,.019578084
29165,100682,8,5,47,2,12,46,18,4,-1.4703841,.062217981,.13072927,.042149398,.25149545,.039384302,.34092355,.014044015
29167,31748,68,80,77,56,53,34,57,70,.57358599,.16458885,.15939905,.11597051,.40706894,.066000685,.3100239,.027407788
29169,52425,63,68,46,16,27,93,60,89,.42742106,.15090001,.12816793,.071547076,.5057044,.048897982,.50692886,.030157054
29171,4781,52,82,54,37,50,10,44,44,.07168626,.16958565,.13477851,.095438175,.36266926,.0625,.22821102,.022362385
29173,10234,21,51,5,43,8,1,16,27,-.88448924,.13680039,.081466392,.10287049,.32723948,.033944499,.16749257,.013627354
29175,24878,61,79,60,68,51,26,6,94,.35871148,.16372618,.14310923,.1311838,.55460268,.063644797,.28495246,.0098539302
29177,22875,28,40,21,58,50,7,25,51,-.64575821,.11861403,.10475127,.11884496,.37198642,.062584572,.21459179,.016350925
29179,6290,66,90,30,91,28,7,32,90,.50317931,.1944399,.11363637,.20181701,.51701182,.049306627,.21302003,.018489985
29181,13567,75,98,35,91,50,6,42,94,.74651098,.25387597,.11867417,.20077707,.56278026,.063253604,.21012057,.02154576
29183,394290,1,2,11,4,3,4,3,4,-2.0316775,.051788256,.093197122,.052102704,.24448432,.02606543,.19374484,.0080201318
29185,9370,60,83,24,80,39,7,29,94,.31423295,.1711562,.10936271,.15472944,.55819881,.056293789,.21720222,.017637111
29186,17848,18,36,12,46,14,5,19,23,-1.0291688,.11542192,.093356572,.10589907,.31882393,.041286334,.19912934,.014183401
29187,66643,67,72,66,79,57,36,30,98,.55496991,.15521842,.14746824,.15237933,.64231664,.068720378,.31548718,.017953249
29189,996919,18,24,57,11,54,36,7,20,-1.0512254,.09744212,.13853897,.065047495,.31362668,.066795737,.31440157,.010330456
29195,22976,68,79,48,82,50,32,50,68,.58534324,.16242553,.13238132,.15987794,.40394089,.062983558,.30440038,.024298839
29197,4555,58,85,18,63,34,33,13,78,.26899195,.17783219,.10086768,.12433334,.4418484,.053559322,.30711865,.012881356
29199,4902,49,50,36,91,34,9,60,84,.028024098,.13309728,.11962932,.20071337,.48033559,.053733032,.22454751,.029977376
29201,38633,82,91,82,78,69,43,59,79,1.0627893,.19834711,.16488078,.15035164,.4520548,.079711094,.33342087,.028956007
29203,8217,79,99,18,91,10,20,80,99,.89590794,.27451709,.10124164,.20013662,.70062643,.036553524,.26631853,.047976501
29205,6013,39,79,46,34,12,19,2,8,-.33124441,.16186485,.12868801,.092955701,.27496532,.0390625,.26151314,.0065789474
29207,29377,77,87,56,89,57,38,27,82,.78793216,.18243571,.1378628,.19126667,.47336224,.06851691,.31960103,.016999133
29209,31615,34,47,1,65,13,2,54,92,-.43834233,.12918031,.055073101,.12825865,.53094381,.040287882,.18258625,.026128452
29211,6247,63,82,31,80,8,16,58,80,.40924004,.16931216,.11469265,.15703806,.45464769,.034304511,.25516918,.028195489
29213,55114,61,63,39,50,42,64,67,60,.34154406,.14693533,.12227619,.11084782,.38923413,.059087645,.38308188,.033674568
29215,25604,79,98,45,82,61,23,44,99,.89132816,.25324273,.12735921,.1637226,.80212092,.070929274,.2764186,.022512335
29217,20595,53,63,46,57,63,26,39,81,.11512801,.14770086,.12808989,.11652187,.46762836,.072742783,.28305104,.020592177
29219,34453,40,50,43,51,7,7,82,52,-.30415702,.13414349,.12696892,.11306778,.37296498,.032716926,.21131659,.052236445
29221,24860,77,92,28,97,51,6,69,99,.80607748,.20127998,.11178523,.23059611,.75704837,.064131729,.2055032,.035424113
29223,13195,80,97,10,97,69,20,68,99,.96319085,.24137931,.090658501,.23767051,.76939428,.080169551,.26502028,.034279395
29225,38655,67,85,12,72,61,15,73,92,.54610771,.17848738,.094145007,.13900828,.52922738,.071307547,.24994475,.040147331
29227,2027,27,53,20,42,36,12,1,33,-.71024615,.13735428,.10286678,.10169491,.33885211,.054714784,.2363213,.0058207219
29229,18203,92,97,80,90,79,31,61,96,1.2265403,.24241577,.16256054,.19563447,.58921516,.091462553,.30043891,.030723488
29510,308174,94,94,100,60,96,97,29,59,1.3212615,.21826626,.23941298,.12235032,.38602504,.19674961,.56340873,.017710213
30001,9415,39,85,1,3,28,39,5,46,-.31837747,.1766745,.061679792,.048563398,.36728719,.0501002,.32239479,.0092685372
30003,13387,83,98,62,45,34,56,100,97,1.1096216,.25511131,.14364237,.10472307,.6205399,.053477418,.36602938,.13965087
30005,6719,90,100,45,41,67,73,82,95,1.169988,.30455855,.12772785,.1007264,.57424349,.077345729,.41969568,.053677093
30007,5945,6,16,1,13,1,2,1,80,-1.6027285,.085128032,.050234426,.068330221,.46301165,.015651438,.1747039,.0016920473
30009,10597,8,24,12,7,5,12,14,26,-1.4852208,.096537247,.094959825,.058106612,.32700759,.030061891,.23607427,.0132626
30011,1331,28,48,1,18,49,25,49,42,-.66630119,.13083397,.037313432,.074611396,.35602096,.062101912,.28025478,.023885351
30013,81625,43,50,60,25,60,52,36,44,-.20012683,.13302013,.14079523,.082250923,.36294127,.070552595,.35625857,.019487897
30015,5732,57,82,22,18,40,54,50,85,.26274365,.17088607,.10688989,.073555611,.48204082,.057167985,.36235708,.024626208
30017,11729,22,36,35,23,51,36,18,7,-.84534228,.11502161,.11870623,.080135986,.26908302,.064042427,.31246176,.014073016
30019,1730,2,2,4,3,52,7,13,4,-1.8831232,.048065651,.077534795,.046765395,.24475524,.065344222,.21586931,.012835473
30021,9017,21,34,24,15,7,37,51,20,-.88704145,.11122882,.10902095,.06960924,.31279409,.032315522,.31730279,.024936387
30023,9106,61,92,43,30,68,39,5,96,.36575148,.20239212,.12713388,.08942502,.59319043,.079169869,.32231617,.0094798869
30025,2921,5,18,1,5,5,25,1,6,-1.6487553,.088849559,.053177692,.053660981,.26661903,.029235382,.27961019,.0059970017
